epoch,step,test_accuracy,test_accuracy_hetero,test_accuracy_homo,test_contact_accuracy,test_contact_loss,test_contact_precision,test_contact_recall,test_interaction_loss,test_loss,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,4279,,,,,,,,,,,,,,,,,0.5,0.011437107808887959,1.0951803922653198,0.0018340089591220021,0.9788281321525574,4.67439603805542,4.495440483093262
0,4279,,,,,,,,,,0.5051401853561401,0.506910502910614,1.6828935146331787,0.0018753826152533293,0.4909917116165161,0.7820225358009338,0.827136218547821,,,,,,,
1,8559,,,,,,,,,,,,,,,,,0.5,0.038038045167922974,1.0601322650909424,0.0017917489167302847,0.9276140928268433,4.419991970062256,4.252018451690674
1,8559,,,,,,,,,,0.5220210552215576,0.5213377475738525,1.8135117292404175,0.0018431583885103464,0.47059378027915955,0.6283875703811646,0.6877107620239258,,,,,,,
2,12839,,,,,,,,,,,,,,,,,0.5,0.049297526478767395,1.058434009552002,0.0017336771124973893,0.9040903449058533,4.288285255432129,4.126814365386963
2,12839,,,,,,,,,,0.5393983721733093,0.5381011962890625,1.783451795578003,0.0018488469067960978,0.450842022895813,0.6020401120185852,0.6611952185630798,,,,,,,
3,17119,,,,,,,,,,,,,,,,,0.5,0.054619114845991135,1.5776526927947998,0.0017976158997043967,0.921764612197876,4.340885162353516,4.202762603759766
3,17119,,,,,,,,,,0.5549357533454895,0.5455784797668457,1.7940834760665894,0.0018091751262545586,0.4454028606414795,0.5843923091888428,0.6449615359306335,,,,,,,
4,21399,,,,,,,,,,,,,,,,,0.5,0.0714547410607338,1.4229234457015991,0.0017211514059454203,0.874392032623291,4.125545024871826,3.9904863834381104
4,21399,,,,,,,,,,0.5688084363937378,0.5545244812965393,1.779159426689148,0.0018257288029417396,0.4344905614852905,0.5726401209831238,0.6330353021621704,,,,,,,
5,25679,,,,,,,,,,,,,,,,,0.5,0.0932890772819519,1.2874683141708374,0.001658526249229908,0.8375420570373535,4.003760814666748,3.868014097213745
