epoch,step,test_accuracy,test_accuracy_hetero,test_accuracy_homo,test_contact_accuracy,test_contact_loss,test_contact_precision,test_contact_recall,test_interaction_loss,test_loss,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,9792,,,,,,,,,,,,,,,,,0.5,0.003214088501408696,0.8036775588989258,0.003083665855228901,0.9989507794380188,4.777157783508301,2.7904653549194336
0,9792,,,,,,,,,,0.500765860080719,0.49903327226638794,0.7442508339881897,0.003055688226595521,0.49907436966896057,1.2250373363494873,1.0015757083892822,,,,,,,
1,19585,,,,,,,,,,,,,,,,,0.5,0.007485362701117992,0.5769038200378418,0.0030905413441359997,0.9952874183654785,4.6885986328125,2.632810115814209
1,19585,,,,,,,,,,0.502808153629303,0.4974198341369629,0.7674809694290161,0.003086836077272892,0.4991810619831085,1.0411463975906372,0.923739492893219,,,,,,,
2,29378,,,,,,,,,,,,,,,,,0.5,0.042003266513347626,0.5067145228385925,0.0030174246057868004,0.9374809265136719,4.518326282501221,2.5128862857818604
2,29378,,,,,,,,,,0.5023996829986572,0.49746131896972656,0.7700290083885193,0.0030724776443094015,0.5030648112297058,1.014420509338379,0.9091525673866272,,,,,,,
3,39171,,,,,,,,,,,,,,,,,0.5,0.013948099687695503,0.7477945685386658,0.0031143378000706434,0.9779314398765564,4.734371185302734,2.741178274154663
3,39171,,,,,,,,,,0.5035739541053772,0.4984623193740845,0.767745316028595,0.003103105816990137,0.5014940500259399,0.9971234798431396,0.8994158506393433,,,,,,,
4,48964,,,,,,,,,,,,,,,,,0.49908924102783203,0.09749709069728851,0.5177473425865173,0.0029234280809760094,0.8657441735267639,4.396427631378174,2.4581167697906494
4,48964,,,,,,,,,,0.5043398141860962,0.507337749004364,0.7464427947998047,0.003048949409276247,0.488660991191864,0.9751380085945129,0.8794786334037781,,,,,,,
5,58757,,,,,,,,,,,,,,,,,0.49817851185798645,0.1960793435573578,0.6136641502380371,0.0029784035868942738,0.7739587426185608,3.791102409362793,2.211341619491577
5,58757,,,,,,,,,,0.5103135108947754,0.5514969825744629,0.6784588694572449,0.003079785965383053,0.4437471330165863,0.8872616291046143,0.8051649332046509,,,,,,,
6,68550,,,,,,,,,,,,,,,,,0.49817851185798645,0.3698192536830902,0.3862389028072357,0.0030808690935373306,0.6206045150756836,3.4014320373535156,1.9010941982269287
6,68550,,,,,,,,,,0.5242519974708557,0.5893171429634094,0.6173582673072815,0.003084386233240366,0.4095168709754944,0.8219906091690063,0.7451691031455994,,,,,,,
7,78343,,,,,,,,,,,,,,,,,0.49817851185798645,0.7200153470039368,0.21810583770275116,0.003477065358310938,0.28705471754074097,3.2673730850219727,1.747230052947998
7,78343,,,,,,,,,,0.5474829077720642,0.6170953512191772,0.5791954398155212,0.003117369720712304,0.3832316994667053,0.7620756030082703,0.6973961591720581,,,,,,,
8,88136,,,,,,,,,,,,,,,,,0.4963570237159729,0.41274845600128174,0.3778274357318878,0.0030516304541379213,0.5944104790687561,3.0718724727630615,1.7339364290237427
8,88136,,,,,,,,,,0.5708158612251282,0.6356269121170044,0.540303647518158,0.003087115939706564,0.36746326088905334,0.7137246131896973,0.6547992825508118,,,,,,,
9,97929,,,,,,,,,,,,,,,,,0.49817851185798645,0.6731685400009155,0.20378077030181885,0.0036072523798793554,0.3574027419090271,2.847240686416626,1.5309572219848633
9,97929,,,,,,,,,,0.5863372087478638,0.6448072195053101,0.527763843536377,0.0031372634693980217,0.3624110519886017,0.6831732988357544,0.6324776411056519,,,,,,,
10,97930,0.49687498807907104,0.5,0.49551570415496826,0.7371686697006226,0.1773044466972351,0.003264114260673523,0.2847997546195984,2.791165351867676,1.4902021884918213,,,,,,,,,,,,,,
