epoch,step,test_accuracy,test_accuracy_hetero,test_accuracy_homo,test_contact_accuracy,test_contact_loss,test_contact_metrics_time_s,test_contact_precision,test_contact_recall,test_interaction_loss,test_loss,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_metrics_time_s,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_metrics_time_s,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,4047,,,,,,,,,,,,,,,,,,,0.5929853320121765,0.9969710111618042,0.1488279402256012,0.0007847453816793859,0.0005126706091687083,0.0009339159587398171,0.6665892601013184,0.6532319784164429
0,4047,,,,,,,,,,,0.7114315629005432,0.9281918406486511,0.3220421373844147,0.0011042063124477863,0.0021351356990635395,0.061879370361566544,0.536013126373291,0.5254126787185669,,,,,,,,
1,4048,0.5761589407920837,0.4964412748813629,0.6234177350997925,0.9967516660690308,0.14136600494384766,0.0008619831642135978,0.0010376048739999533,0.0034437240101397038,0.6826087832450867,0.6667296886444092,,,,,,,,,,,,,,,,
