epoch,step,test_accuracy,test_accuracy_hetero,test_accuracy_homo,test_contact_accuracy,test_contact_loss,test_contact_precision,test_contact_recall,test_interaction_loss,test_loss,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,4047,,,,,,,,,,,,,,,,,0.5,0.011354505084455013,0.8050094842910767,0.001809798995964229,0.9816051125526428,4.695682525634766,4.501150608062744
0,4047,,,,,,,,,,0.5031188130378723,0.5032943487167358,1.863364577293396,0.00186162069439888,0.49585819244384766,0.8929888010025024,0.9415637850761414,,,,,,,
1,8095,,,,,,,,,,,,,,,,,0.5,0.020765194669365883,0.9592757821083069,0.0017732952255755663,0.9561237692832947,4.4300055503845215,4.256475925445557
1,8095,,,,,,,,,,0.5091403126716614,0.5228376388549805,2.075319528579712,0.0019129420397803187,0.46953898668289185,0.6613589525222778,0.7321292161941528,,,,,,,
2,12143,,,,,,,,,,,,,,,,,0.5,0.0768217220902443,1.0146102905273438,0.001703173154965043,0.8758029937744141,4.102384567260742,3.948024034500122
2,12143,,,,,,,,,,0.532701313495636,0.5396203994750977,2.143326759338379,0.0018840215634554625,0.4511316120624542,0.6109652519226074,0.6876527667045593,,,,,,,
3,16191,,,,,,,,,,,,,,,,,0.5,0.18861505389213562,0.855070948600769,0.0016471941489726305,0.7463791370391846,3.6296355724334717,3.491016149520874
3,16191,,,,,,,,,,0.5480175614356995,0.5576006174087524,2.100611686706543,0.0018869917839765549,0.43413498997688293,0.5956799983978271,0.6709941625595093,,,,,,,
4,20239,,,,,,,,,,,,,,,,,0.5,0.2006828635931015,0.9242039918899536,0.001596013898961246,0.7183730602264404,3.441962242126465,3.316279649734497
4,20239,,,,,,,,,,0.5779706239700317,0.584381103515625,1.9968634843826294,0.001872069202363491,0.4074767231941223,0.5806456804275513,0.6515365839004517,,,,,,,
5,24287,,,,,,,,,,,,,,,,,0.5,0.27137377858161926,0.8642213940620422,0.0015998968156054616,0.6403270363807678,3.10353422164917,2.9919490814208984
5,24287,,,,,,,,,,0.6187314987182617,0.6069057583808899,1.8973162174224854,0.0018694144673645496,0.3837662637233734,0.56010502576828,0.6270129680633545,,,,,,,
6,28335,,,,,,,,,,,,,,,,,0.5,0.3090327978134155,0.7092273235321045,0.0015231375582516193,0.5830323100090027,3.0038657188415527,2.889451026916504
