epoch,step,test_accuracy,test_accuracy_hetero,test_accuracy_homo,test_contact_accuracy,test_contact_loss,test_contact_precision,test_contact_recall,test_interaction_loss,test_loss,train_accuracy,train_contact_accuracy,train_contact_loss,train_contact_precision,train_contact_recall,train_interaction_loss,train_loss,val_accuracy,val_contact_accuracy,val_contact_loss,val_contact_precision,val_contact_recall,val_interaction_loss,val_loss
0,9792,,,,,,,,,,,,,,,,,0.49908924102783203,0.8145831823348999,0.2775087058544159,0.0031229075975716114,0.20254755020141602,2.6722843647003174,1.4784826040267944
0,9792,,,,,,,,,,0.5358419418334961,0.6965396404266357,0.44392672181129456,0.003054371802136302,0.3151065409183502,1.0334081649780273,0.775528609752655,,,,,,,
1,19585,,,,,,,,,,,,,,,,,0.5027322173118591,0.8066186308860779,0.23916003108024597,0.00350888236425817,0.23456814885139465,2.087535858154297,1.1722437143325806
1,19585,,,,,,,,,,0.5985908508300781,0.7187702059745789,0.39910855889320374,0.0031371258664876223,0.28871577978134155,0.7341077327728271,0.60519939661026,,,,,,,
2,29378,,,,,,,,,,,,,,,,,0.5,0.8041658401489258,0.18752169609069824,0.0034711870830506086,0.23395965993404388,2.5566036701202393,1.3743149042129517
2,29378,,,,,,,,,,0.6061983108520508,0.7316095232963562,0.3912513554096222,0.0031673014163970947,0.283820241689682,0.697807252407074,0.5820393562316895,,,,,,,
3,39171,,,,,,,,,,,,,,,,,0.5,0.7321357727050781,0.23402665555477142,0.0037267329171299934,0.3264845013618469,2.905740737915039,1.5706491470336914
3,39171,,,,,,,,,,0.6201368570327759,0.741855263710022,0.3908330798149109,0.00327794230543077,0.28788286447525024,0.6756457686424255,0.5689171552658081,,,,,,,
4,48964,,,,,,,,,,,,,,,,,0.5,0.7545371055603027,0.27032920718193054,0.0035903367679566145,0.3157990872859955,2.841136932373047,1.5566918849945068
4,48964,,,,,,,,,,0.6321352124214172,0.7529374957084656,0.3764084279537201,0.0032173467334359884,0.2699701488018036,0.6589075326919556,0.5547833442687988,,,,,,,
5,58757,,,,,,,,,,,,,,,,,0.5,0.6988261342048645,0.28072646260261536,0.003602878423407674,0.3653356730937958,2.385310649871826,1.3355283737182617
5,58757,,,,,,,,,,0.651638925075531,0.7547658085823059,0.37265077233314514,0.0032697611022740602,0.27224570512771606,0.647674024105072,0.5445882678031921,,,,,,,
6,68550,,,,,,,,,,,,,,,,,0.5,0.8770951628684998,0.16183145344257355,0.0036981101147830486,0.15240679681301117,2.7869784832000732,1.4754122495651245
6,68550,,,,,,,,,,0.6567956805229187,0.7566251754760742,0.38140976428985596,0.003257964737713337,0.2702171802520752,0.6296079754829407,0.5383718609809875,,,,,,,
7,78343,,,,,,,,,,,,,,,,,0.5,0.6649506092071533,0.3166689872741699,0.003227154491469264,0.37935441732406616,2.8030593395233154,1.5609732866287231
7,78343,,,,,,,,,,0.6796691417694092,0.7679365277290344,0.3646799921989441,0.0033280416391789913,0.2604724168777466,0.6031082272529602,0.5160335898399353,,,,,,,
8,88136,,,,,,,,,,,,,,,,,0.5,0.7435837984085083,0.2232416272163391,0.003296435344964266,0.29493093490600586,2.23349928855896,1.231704831123352
8,88136,,,,,,,,,,0.6789032816886902,0.7679027318954468,0.3651103377342224,0.0032514650374650955,0.2625778317451477,0.6022086143493652,0.5148530006408691,,,,,,,
9,97929,,,,,,,,,,,,,,,,,0.5,0.9442214965820312,0.12985111773014069,0.0036369883455336094,0.07001129537820816,2.932413101196289,1.531903862953186
9,97929,,,,,,,,,,0.6929439306259155,0.7737098336219788,0.3625964820384979,0.003364002099260688,0.25974804162979126,0.5882601141929626,0.5059216618537903,,,,,,,
10,97930,0.5023437738418579,0.5025773048400879,0.5022421479225159,0.8007014989852905,0.23366303741931915,0.0031863334588706493,0.23288023471832275,2.1807360649108887,1.2144352197647095,,,,,,,,,,,,,,
